sep=,
"Time","max","avg","min"
2020-10-02 16:00:00,0,0,0
2020-10-02 16:02:00,0,0,0
2020-10-02 16:04:00,85,81.3,77
2020-10-02 16:06:00,91,82,76
2020-10-02 16:08:00,137,84.5,75
2020-10-02 16:10:00,128,84,76
2020-10-02 16:12:00,84,77.6,73
2020-10-02 16:14:00,84,77.8,71
2020-10-02 16:16:00,96,78.3,72
2020-10-02 16:18:00,90,79.5,73
2020-10-02 16:20:00,87,80.9,75
2020-10-02 16:22:00,83,79.1,75
2020-10-02 16:24:00,87,79.5,75
2020-10-02 16:26:00,87,79.2,74
2020-10-02 16:28:00,87,81.8,74
2020-10-02 16:30:00,129,81,74
2020-10-02 16:32:00,88,79.2,71
2020-10-02 16:34:00,99,80,75
2020-10-02 16:36:00,84,77.7,73
2020-10-02 16:38:00,86,78.2,72
2020-10-02 16:40:00,87,77.7,71
2020-10-02 16:42:00,107,80.2,76
2020-10-02 16:44:00,95,79.7,72
2020-10-02 16:46:00,84,77.8,72
2020-10-02 16:48:00,131,84.5,75
2020-10-02 16:50:00,102,79.9,74
2020-10-02 16:52:00,87,78.7,75
2020-10-02 16:54:00,87,79,73
2020-10-02 16:56:00,89,78.6,71
2020-10-02 16:58:00,86,78.4,73
2020-10-02 17:00:00,83,78.7,72
2020-10-02 17:02:00,85,78.8,75
2020-10-02 17:04:00,95,78.8,74
2020-10-02 17:06:00,123,81.5,75
2020-10-02 17:08:00,88,79.7,76
2020-10-02 17:10:00,90,79.2,74
2020-10-02 17:12:00,87,79.4,75
2020-10-02 17:14:00,93,79.5,75
2020-10-02 17:16:00,84,77.6,71
2020-10-02 17:18:00,97,80.1,74
2020-10-02 17:20:00,84,78.3,74
2020-10-02 17:22:00,92,79.3,73
2020-10-02 17:24:00,103,80.6,73
2020-10-02 17:26:00,102,80.3,74
2020-10-02 17:28:00,85,79.2,75
2020-10-02 17:30:00,93,80.5,76
2020-10-02 17:32:00,89,79.9,75
2020-10-02 17:34:00,83,78.5,74
2020-10-02 17:36:00,87,79.4,73
2020-10-02 17:38:00,87,78.2,75
2020-10-02 17:40:00,89,80.1,75
2020-10-02 17:42:00,88,79.4,74
2020-10-02 17:44:00,87,79.9,73
2020-10-02 17:46:00,91,78.8,72
2020-10-02 17:48:00,85,79.1,74
2020-10-02 17:50:00,128,81.8,73
2020-10-02 17:52:00,99,81.2,76
2020-10-02 17:54:00,88,80.2,76
2020-10-02 17:56:00,86,80.0,73
2020-10-02 17:58:00,90,79.2,72
2020-10-02 18:00:00,82,78.4,73
2020-10-02 18:02:00,86,77.9,72
2020-10-02 18:04:00,94,80.3,74
2020-10-02 18:06:00,82,78.3,73
2020-10-02 18:08:00,130,83.7,76
2020-10-02 18:10:00,133,81.1,73
2020-10-02 18:12:00,86,79.1,71
2020-10-02 18:14:00,89,79.6,74
2020-10-02 18:16:00,131,80.6,74
2020-10-02 18:18:00,138,82.0,74
2020-10-02 18:20:00,88,80.3,73
2020-10-02 18:22:00,92,80.4,75
2020-10-02 18:24:00,84,79.3,74
2020-10-02 18:26:00,95,79.8,73
2020-10-02 18:28:00,95,79.4,75
2020-10-02 18:30:00,85,79.1,72
2020-10-02 18:32:00,84,78.2,74
2020-10-02 18:34:00,92,80.1,76
2020-10-02 18:36:00,88,79.4,73
2020-10-02 18:38:00,86,78.8,74
2020-10-02 18:40:00,89,79.8,74
2020-10-02 18:42:00,92,79.5,74
2020-10-02 18:44:00,87,79.4,73
2020-10-02 18:46:00,87,78.9,73
2020-10-02 18:48:00,90,78.9,76
2020-10-02 18:50:00,91,78.7,72
2020-10-02 18:52:00,90,81.1,74
2020-10-02 18:54:00,90,78.1,74
2020-10-02 18:56:00,91,80.1,71
2020-10-02 18:58:00,84,78.6,73
2020-10-02 19:00:00,99,80.9,75
2020-10-02 19:02:00,85,79.6,75
2020-10-02 19:04:00,93,79.3,75
2020-10-02 19:06:00,87,79.2,74
2020-10-02 19:08:00,92,81.3,74
2020-10-02 19:10:00,84,78.5,74
2020-10-02 19:12:00,93,80.0,74
2020-10-02 19:14:00,86,79.1,75
2020-10-02 19:16:00,96,80.2,73
2020-10-02 19:18:00,89,79.2,72
2020-10-02 19:20:00,98,80.3,74
2020-10-02 19:22:00,95,82.1,75
2020-10-02 19:24:00,88,78.9,71
2020-10-02 19:26:00,89,80.8,76
2020-10-02 19:28:00,85,78.5,74
2020-10-02 19:30:00,85,78.6,72
2020-10-02 19:32:00,97,80.0,75
2020-10-02 19:34:00,86,79.2,75
2020-10-02 19:36:00,233,88.2,73
2020-10-02 19:38:00,98,80.5,75
2020-10-02 19:40:00,87,80.2,75
2020-10-02 19:42:00,88,78.3,74
2020-10-02 19:44:00,91,79.2,72
2020-10-02 19:46:00,89,78.6,73
2020-10-02 19:48:00,81,76.5,70
2020-10-02 19:50:00,138,83.4,73
2020-10-02 19:52:00,91,79.9,71
2020-10-02 19:54:00,93,81.1,75
2020-10-02 19:56:00,93,79.6,73
2020-10-02 19:58:00,90,79.6,74
2020-10-02 20:00:00,88,80.0,74
2020-10-02 20:02:00,87,78.1,74
2020-10-02 20:04:00,90,79.2,74
2020-10-02 20:06:00,100,79.5,74
2020-10-02 20:08:00,87,79.5,72
2020-10-02 20:10:00,84,80,74
2020-10-02 20:12:00,86,80.1,70
2020-10-02 20:14:00,87,79.9,74
2020-10-02 20:16:00,97,79.9,74
2020-10-02 20:18:00,129,82.5,72
2020-10-02 20:20:00,82,78.0,75
2020-10-02 20:22:00,90,78.9,73
2020-10-02 20:24:00,84,78.4,72
2020-10-02 20:26:00,89,79.6,75
2020-10-02 20:28:00,91,80.0,73
2020-10-02 20:30:00,92,79,70
2020-10-02 20:32:00,88,79.7,73
2020-10-02 20:34:00,90,80.3,76
2020-10-02 20:36:00,86,79.6,72
2020-10-02 20:38:00,90,80.8,76
2020-10-02 20:40:00,134,83.4,73
2020-10-02 20:42:00,92,80.8,73
2020-10-02 20:44:00,89,79.7,74
2020-10-02 20:46:00,87,79.5,75
2020-10-02 20:48:00,129,80.9,74
2020-10-02 20:50:00,88,78.5,73
2020-10-02 20:52:00,94,79.9,74
2020-10-02 20:54:00,92,79.2,75
2020-10-02 20:56:00,91,79.4,75
2020-10-02 20:58:00,84,77.7,72
2020-10-02 21:00:00,101,79.7,73
2020-10-02 21:02:00,131,82.1,75
2020-10-02 21:04:00,92,79.6,73
2020-10-02 21:06:00,89,79.6,74
2020-10-02 21:08:00,84,80.4,74
2020-10-02 21:10:00,130,81.3,73
2020-10-02 21:12:00,86,79.2,75
2020-10-02 21:14:00,83,78.8,74
2020-10-02 21:16:00,92,80.4,77
2020-10-02 21:18:00,95,79.4,73
2020-10-02 21:20:00,85,79.7,76
2020-10-02 21:22:00,130,82.1,75
2020-10-02 21:24:00,86,80.4,74
2020-10-02 21:26:00,91,79.5,75
2020-10-02 21:28:00,90,80.7,74
2020-10-02 21:30:00,95,80.1,73
2020-10-02 21:32:00,86,79,73
2020-10-02 21:34:00,92,80.2,75
2020-10-02 21:36:00,87,79.2,73
2020-10-02 21:38:00,85,78.6,73
2020-10-02 21:40:00,88,79.4,74
2020-10-02 21:42:00,90,79.5,74
2020-10-02 21:44:00,92,79.2,73
2020-10-02 21:46:00,92,80.2,75
2020-10-02 21:48:00,95,79.7,72
2020-10-02 21:50:00,84,79.2,75
2020-10-02 21:52:00,85,78.9,75
2020-10-02 21:54:00,87,78.8,73
2020-10-02 21:56:00,86,79.5,72
2020-10-02 21:58:00,88,78.9,75
2020-10-02 22:00:00,89,79.7,73
2020-10-02 22:02:00,85,79.5,73
2020-10-02 22:04:00,85,79.0,73
2020-10-02 22:06:00,88,80.6,73
2020-10-02 22:08:00,87,79.0,74
2020-10-02 22:10:00,86,78.8,72
2020-10-02 22:12:00,94,80.6,75
2020-10-02 22:14:00,112,80.4,74
2020-10-02 22:16:00,87,80.2,74
2020-10-02 22:18:00,127,82.9,71
2020-10-02 22:20:00,91,78.9,73
2020-10-02 22:22:00,88,78.7,74
2020-10-02 22:24:00,87,79.1,74
2020-10-02 22:26:00,88,79.1,74
2020-10-02 22:28:00,137,82,74
2020-10-02 22:30:00,83,79.6,76
2020-10-02 22:32:00,88,79.9,75
2020-10-02 22:34:00,89,80.7,76
2020-10-02 22:36:00,92,79.9,74
2020-10-02 22:38:00,88,79.5,72
2020-10-02 22:40:00,95,79.5,74
2020-10-02 22:42:00,92,80.1,74
2020-10-02 22:44:00,88,80.4,75
2020-10-02 22:46:00,90,78.2,69
2020-10-02 22:48:00,86,79.3,75
2020-10-02 22:50:00,131,82,75
2020-10-02 22:52:00,91,80.4,73
2020-10-02 22:54:00,84,78.8,75
2020-10-02 22:56:00,89,81.0,75
2020-10-02 22:58:00,89,78.4,72
2020-10-02 23:00:00,88,79.7,73
2020-10-02 23:02:00,90,79.4,73
2020-10-02 23:04:00,138,81.9,73
2020-10-02 23:06:00,130,80.8,70
2020-10-02 23:08:00,92,79.4,74
2020-10-02 23:10:00,91,79.4,73
2020-10-02 23:12:00,102,80.7,75
2020-10-02 23:14:00,88,79.4,71
2020-10-02 23:16:00,137,82.3,76
2020-10-02 23:18:00,87,78.8,75
2020-10-02 23:20:00,83,78.6,70
2020-10-02 23:22:00,134,82.9,76
